id	KIDEN	Altstation	Altsommetdespistes	Kmpistesalpin	Nbvertes	Nbbleues	Nbrouges	Nbnoires	tlpheriques	tlcabines	tlsieges	tlskis	Pxalpin	Kmpistesfond	PXfond	Nblits	bassesaison	hautesaison	Prixappartementbassesaison	Prixappartementhautesaison	Neigeartificielle	SkiFrance	Liaisonsautresstations	Tranchesprixsemaine	Rapportqualite-prixforfait	Stationfamiliale-enfants	Domaineperformant	Grandski	Surf	Stationvillagenature	Grandsitenordique	Activitesnature	Manifestationsculturelles	Animation	Autoroute	sncf	aeroport	Massif	Departement
1	Avoriaz	1800	2460	150	3	24	17	5	1	2	21	18	154	47	0	16000	435	630	1855	4480	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Man. culturelle1	Animations	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
2	Bernex	1000	2000	50	5	4	8	4	0	0	3	3	75	35	25	5000	270	335	1500	2000	Neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
3	Morzine	1000	2460	130	11	13	27	9	2	3	33	30	139	97	0	16000	270	350	1600	2300	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
4	LaChapelledAbondance	1000	2000	75	5	6	5	1	0	1	4	7	93	35	0	6500	290	350	1300	3100	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Nord	Haute-Savoie (74)
5	Abondance	1000	1650	15	2	5	4	1	0	1	1	7	80	12	0	5900	230	260	1250	1650	Neige art.	pas Ski-france	Liaison	Px <5000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Nord	Haute-Savoie (74)
6	Chatel	1200	2200	82	9	11	16	5	0	2	14	34	143	21	0	18000	274	346	1450	3650	Pas neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
7	TholonlesMemises	1000	2000	50	3	3	10	0	0	1	3	14	82	6	37	5000	290	330	1500	2400	Neige art.	pas Ski-france	Pas liaison	Px <5000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
8	LesHaberes	950	1600	25	2	7	8	1	0	0	3	6	70	50	28	2500	230	270	1300	2400	Neige art.	pas Ski-france	Liaison	Px <5000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
9	Bellevaux	1100	1800	75	10	9	9	3	0	0	3	19	70	70	31	4145	250	250	1300	2700	Neige art.	pas Ski-france	Liaison	Px <5000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
10	LesGets	1172	2002	130	8	19	25	9	2	3	22	32	139	18	0	14000	250	350	1500	4000	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Haute-Savoie (74)
